"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0002250",2.2016299799445e-24,1,271,633,"adaptive immune response","BP",3.24674373142415e-20,0.0632291180587961
"GO:0002376",7.27537597808742e-22,1,847,2608,"immune system process","BP",5.36449847744276e-18,0.19762015865609
"GO:0006955",1.42040286993357e-20,1,628,1856,"immune response","BP",6.98222704097014e-17,0.14652356509566
"GO:0045321",2.09041781814122e-14,1,333,930,"leukocyte activation","BP",7.70684789103214e-11,0.0776948203453103
"GO:0001775",3.16310868577364e-13,1,369,1069,"cell activation","BP",9.32927275782078e-10,0.0860942603826412
"GO:0046649",1.00994126195552e-12,1,280,776,"lymphocyte activation","BP",2.482267298343e-09,0.0653289780681288
"GO:0019724",1.66404554742577e-12,1,86,176,"B cell mediated immunity","BP",3.50566852684112e-09,0.0200653289780681
"GO:0002460",2.03899256729024e-12,1,149,361,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",3.75862792372865e-09,0.0347643490433971
"GO:0016064",2.30428828820249e-12,1,85,174,"immunoglobulin mediated immune response","BP",3.77570437623579e-09,0.0198320111992534
"GO:0002682",1.17086541065643e-11,1,495,1541,"regulation of immune system process","BP",1.68713618153403e-08,0.115492300513299
"GO:0002684",1.25845921183118e-11,1,368,1093,"positive regulation of immune system process","BP",1.68713618153403e-08,0.0858609426038264
"GO:0030098",5.56541896827405e-11,1,162,412,"lymphocyte differentiation","BP",6.83943612709479e-08,0.0377974801679888
"GO:0002521",9.9497834631041e-11,1,219,599,"leukocyte differentiation","BP",1.12868812869536e-07,0.0510965935604293
"GO:0048518",1.58816907475299e-10,1,1594,5691,"positive regulation of biological process","BP",1.67290923895588e-07,0.371908539430705
"GO:0002757",2.3704854223749e-10,1,199,538,"immune response-activating signaling pathway","BP",2.32635113167466e-07,0.0464302379841344
"GO:0002253",2.69971579817052e-10,1,216,595,"activation of immune response","BP",2.32635113167466e-07,0.0503966402239851
"GO:0050776",2.7967089430121e-10,1,322,957,"regulation of immune response","BP",2.32635113167466e-07,0.0751283247783481
"GO:0002252",2.98477358316623e-10,1,234,662,"immune effector process","BP",2.32635113167466e-07,0.0545963602426505
"GO:1903131",2.9972653083216e-10,1,188,504,"mononuclear cell differentiation","BP",2.32635113167466e-07,0.0438637424171722
"GO:0002764",4.4206536386059e-10,1,210,577,"immune response-regulating signaling pathway","BP",3.25956896042606e-07,0.0489967335510966
"GO:0050865",5.49780551079399e-10,1,220,615,"regulation of cell activation","BP",3.86076846988948e-07,0.051329911339244
"GO:0002694",7.02841312579294e-10,1,203,560,"regulation of leukocyte activation","BP",4.71127310754857e-07,0.0473635090993934
"GO:0002768",7.77952313109104e-10,1,138,349,"immune response-regulating cell surface receptor signaling pathway","BP",4.98802728757389e-07,0.0321978534764349
"GO:0050778",1.25402075146964e-09,1,265,771,"positive regulation of immune response","BP",7.70543500913448e-07,0.0618292113859076
"GO:0002449",1.36306979993037e-09,1,135,346,"lymphocyte mediated immunity","BP",8.04047613582924e-07,0.0314979001399907
"GO:0048522",1.64244827155223e-09,1,1492,5334,"positive regulation of cellular process","BP",9.31584025406951e-07,0.348110125991601
"GO:0030097",2.49302419302707e-09,1,309,928,"hemopoiesis","BP",1.36165288053964e-06,0.0720951936537564
